ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Returned
984,B,Flight,0,5,55.46,19,low,Female,6.43,4961,1
985,C,Ship,0,5,224.53,0,medium,Male,19.67,4353,0
986,C,Flight,9,2,413.92,19,high,Male,29.16,784,0
987,E,Flight,5,4,388.83,15,low,Female,16.6,710,0
988,D,Flight,6,3,139.69,4,low,Female,8.81,3928,1
989,C,Ship,8,1,994.2,15,low,Female,27.31,1365,0
990,B,Ship,5,5,291.6,4,high,Female,18.31,1286,0
991,B,Ship,4,3,723.82,9,medium,Female,6.38,2295,0
992,C,Road,1,4,227.83,8,low,Male,28.49,1415,0
993,D,Flight,1,3,879.07,18,high,Male,8.19,4142,0
994,B,Ship,7,4,393.88,2,high,Male,26.95,3830,1
995,E,Flight,0,3,901.89,8,high,Male,18.44,4304,1
996,B,Ship,7,2,348.42,19,medium,Female,15.08,444,0
997,A,Ship,9,3,18.56,7,high,Female,9.98,1493,0
998,A,Ship,6,2,521.85,3,medium,Female,3.57,121,0
999,D,Flight,6,4,529.54,10,low,Female,7.34,1316,0
1000,C,Road,4,5,128.64,3,low,Male,9.93,1890,1
1001,D,Ship,2,5,242.61,11,medium,Female,8.66,4934,1
1002,D,Ship,6,3,785.66,6,high,Female,2.2,2298,0
1003,D,Ship,6,1,46.39,7,low,Female,17.39,1787,0
1004,D,Road,6,3,494.63,9,medium,Female,14.26,3466,0
1005,E,Flight,1,2,535.1,12,high,Male,3.19,2234,0
1006,E,Flight,2,2,691.82,13,low,Female,13.92,4834,1
1007,B,Flight,2,4,47.08,15,medium,Male,2.37,3346,0
1008,A,Flight,3,3,589.79,6,high,Female,27.95,4586,0
1009,D,Ship,8,4,13.07,15,high,Male,7.77,3599,0
1010,B,Road,9,1,272.53,16,high,Male,21.74,812,1
1011,A,Ship,0,5,504.69,19,medium,Female,7.54,4416,0
1012,C,Road,6,5,912.17,18,medium,Female,14.24,3597,0
1013,E,Flight,6,3,135.32,11,high,Male,28.0,4573,0
1014,A,Road,3,4,177.6,8,high,Female,26.15,3755,0
1015,C,Ship,0,4,672.56,7,high,Male,23.37,505,0
1016,A,Ship,2,1,381.11,8,high,Male,23.71,4379,0
1017,E,Flight,4,4,627.19,4,high,Male,24.7,3706,0
1018,E,Ship,1,2,997.48,9,high,Female,22.28,3181,0
1019,B,Ship,6,2,987.0,4,low,Male,26.91,3991,1
1020,D,Road,9,2,360.18,13,high,Female,10.51,4302,0
1021,A,Ship,9,3,508.89,17,medium,Male,15.78,4507,0
1022,A,Flight,6,2,905.64,6,medium,Female,19.39,237,0
1023,C,Flight,9,2,101.25,7,medium,Male,5.93,3620,0
1024,E,Ship,4,5,457.78,4,medium,Female,15.1,3601,0
1025,A,Flight,9,3,383.8,5,low,Male,3.72,1164,0
1026,E,Road,5,2,301.93,19,low,Female,18.35,2856,0
1027,A,Road,0,1,994.26,8,medium,Male,2.93,2775,0
1028,B,Ship,3,2,736.21,8,medium,Female,15.1,4245,0
1029,D,Ship,3,3,394.86,7,medium,Female,13.85,4692,0
1030,A,Road,7,4,830.73,16,medium,Male,3.35,1143,1
1031,E,Flight,1,5,494.77,7,medium,Female,13.18,4898,0
1032,B,Ship,0,5,874.1,0,low,Female,20.33,4203,0
1033,A,Ship,6,3,273.72,17,low,Male,17.84,1852,1
1034,C,Flight,5,2,231.36,14,low,Female,13.74,4900,0
1035,D,Ship,4,1,254.81,15,high,Female,10.95,1223,0
1036,A,Flight,7,2,543.1,1,medium,Female,1.72,1423,1
1037,B,Flight,1,2,298.4,12,medium,Female,28.68,4979,1
1038,C,Flight,1,1,155.65,1,high,Male,12.08,1192,0
1039,B,Flight,8,5,994.68,13,medium,Female,12.49,4629,0
1040,B,Flight,0,2,901.43,6,high,Female,3.85,2262,0
1041,C,Road,5,4,638.66,10,high,Male,15.98,3552,1
1042,B,Flight,2,4,892.63,14,high,Male,29.38,4900,1
1043,C,Road,4,3,936.11,16,high,Female,7.59,2532,0
1044,A,Flight,7,3,679.35,16,medium,Female,9.4,3786,0
1045,C,Ship,6,1,523.49,14,high,Male,7.09,3030,1
1046,C,Road,3,1,883.18,15,medium,Female,26.0,764,0
1047,D,Ship,7,3,572.12,8,high,Male,14.26,4480,1
1048,C,Flight,9,2,135.53,19,low,Female,24.71,3878,0
1049,C,Flight,1,5,373.19,18,medium,Male,25.5,4696,0
1050,A,Ship,6,4,451.46,8,high,Male,22.47,4469,1
1051,D,Flight,4,1,936.02,5,high,Male,7.83,1496,0
1052,E,Ship,5,3,662.59,0,high,Female,1.06,2613,0
1053,A,Flight,2,4,876.52,4,low,Male,4.3,1564,0
1054,A,Flight,9,1,760.02,4,medium,Female,20.91,3933,0
1055,E,Road,6,1,316.76,0,low,Male,22.22,632,0
1056,C,Ship,6,2,721.52,0,low,Female,22.99,4392,0
1057,B,Flight,1,1,203.35,5,low,Female,7.32,4354,1
1058,D,Ship,0,5,414.06,8,medium,Female,4.59,3280,0
1059,B,Road,9,1,808.03,18,low,Female,27.69,3363,0
1060,E,Ship,1,5,615.81,4,medium,Female,19.93,3966,0
1061,A,Road,7,2,827.16,16,medium,Female,22.26,3845,0
1062,A,Ship,9,5,262.16,19,high,Male,2.82,2709,0
1063,D,Ship,2,4,752.25,11,low,Female,12.37,4578,1
1064,A,Road,3,1,210.3,5,low,Female,1.9,3880,0
1065,A,Flight,7,3,549.85,12,low,Male,19.73,2557,1
1066,D,Flight,2,3,439.2,7,medium,Male,14.68,4535,0
1067,D,Flight,5,5,560.91,2,medium,Female,13.54,3304,0
1068,E,Ship,1,2,144.18,10,medium,Male,27.09,495,0
1069,A,Ship,2,5,367.62,19,low,Male,22.2,624,0
1070,A,Flight,0,5,670.23,0,medium,Male,28.93,4542,0
1071,E,Ship,8,5,562.95,13,medium,Female,1.39,3606,0
1072,C,Ship,3,4,553.48,12,medium,Male,18.47,935,1
1073,C,Flight,5,4,515.72,14,high,Female,18.91,3061,0
1074,C,Road,6,5,944.45,7,medium,Male,0.8,4944,1
1075,E,Ship,1,2,935.22,14,low,Female,23.61,1716,1
1076,A,Ship,7,1,366.54,12,medium,Male,4.61,4394,0
1077,E,Ship,8,3,358.38,0,high,Female,21.04,4376,0
1078,E,Ship,9,4,559.35,10,medium,Female,1.13,1777,0
1079,C,Road,1,1,104.65,19,medium,Male,18.41,3814,1
1080,B,Flight,4,4,309.98,14,high,Male,15.62,1530,0
1081,A,Ship,1,4,238.56,3,low,Female,14.5,1793,0
1082,C,Flight,4,4,231.16,5,high,Female,11.0,360,0
1083,B,Ship,6,5,642.12,11,medium,Male,12.61,702,0
1084,B,Road,5,5,390.51,0,medium,Male,14.31,3072,0
1085,D,Flight,3,4,179.45,9,medium,Male,8.93,272,0
1086,A,Road,1,4,888.7,17,medium,Male,28.06,457,0
1087,B,Ship,6,3,875.41,0,low,Male,28.95,2905,0
1088,C,Road,9,1,863.84,6,medium,Male,9.0,3818,0
1089,D,Road,8,1,396.84,1,medium,Male,23.36,4851,1
1090,A,Ship,0,2,66.41,7,high,Male,22.55,2748,0
1091,E,Ship,2,2,115.67,0,low,Female,26.27,780,0
1092,C,Flight,6,2,283.29,18,high,Male,0.12,1315,0
1093,B,Ship,8,5,227.77,5,medium,Female,10.14,2838,0
1094,B,Flight,4,5,875.25,10,medium,Male,4.35,4728,1
1095,C,Road,6,3,986.49,18,medium,Male,11.73,844,0
1096,B,Road,9,5,818.51,9,low,Male,17.27,1042,0
1097,D,Flight,6,2,732.55,15,medium,Male,27.27,811,1
1098,A,Ship,3,4,592.74,15,high,Female,25.19,3025,1
1099,D,Ship,4,2,772.21,9,high,Male,14.97,1769,1
1100,B,Road,1,3,947.56,17,low,Female,0.71,1352,0
1101,E,Flight,7,4,605.33,17,medium,Female,9.03,795,0
1102,A,Road,0,5,163.07,2,medium,Male,3.2,305,1
1103,A,Road,1,4,172.22,11,medium,Female,19.52,1734,0
1104,C,Ship,2,3,588.02,9,low,Female,20.86,1001,1
1105,C,Flight,6,5,340.13,15,low,Female,19.46,4963,0
1106,E,Road,5,1,911.14,8,medium,Female,8.24,3220,0
1107,A,Ship,6,2,615.53,17,high,Female,27.59,2308,1
1108,E,Road,4,2,679.73,12,low,Female,17.66,2046,0
1109,C,Road,3,3,15.76,13,low,Female,17.92,1025,0
1110,C,Ship,6,3,503.86,18,high,Female,24.47,4700,1
1111,A,Ship,2,2,436.85,13,high,Female,2.08,785,0
1112,D,Flight,9,4,708.81,1,medium,Female,6.29,3453,0
1113,B,Road,6,1,388.81,10,medium,Male,17.69,767,0
1114,C,Flight,1,1,976.81,7,medium,Female,18.31,2508,0
1115,C,Ship,7,3,673.5,2,medium,Male,14.0,771,1
1116,D,Ship,5,3,663.32,14,low,Male,23.4,3373,0
1117,D,Road,2,4,920.15,12,high,Male,10.37,1135,0
1118,E,Flight,2,3,995.25,7,medium,Female,0.34,351,0
1119,E,Flight,4,1,205.84,12,high,Female,10.2,474,0
1120,B,Road,2,2,812.43,15,medium,Male,28.98,4181,0
1121,B,Road,5,1,170.7,0,high,Female,23.37,3150,1
1122,A,Flight,1,4,462.47,1,medium,Female,9.55,1209,0
1123,E,Ship,7,2,109.18,12,high,Male,6.67,1779,0
1124,C,Ship,8,2,627.14,13,medium,Male,24.31,1890,0
1125,E,Road,6,1,473.83,1,low,Male,6.0,2101,0
1126,C,Flight,2,2,632.41,15,medium,Male,17.41,682,1
1127,D,Flight,9,2,681.18,13,high,Male,15.24,4887,0
1128,E,Flight,3,3,623.24,6,medium,Female,12.68,4295,0
1129,D,Ship,9,2,301.09,13,low,Male,12.78,997,0
1130,B,Ship,1,4,838.59,17,low,Female,21.07,1359,0
1131,B,Flight,8,2,556.17,16,medium,Male,3.09,3009,1
1132,A,Flight,4,3,494.95,4,high,Female,11.86,1279,0
1133,E,Road,1,5,987.19,10,high,Male,29.05,2337,0
1134,D,Road,9,5,290.67,17,high,Female,23.34,1792,0
1135,C,Flight,5,4,532.75,15,high,Female,0.63,2649,0
1136,B,Flight,6,4,685.5,9,low,Male,13.41,477,0
1137,B,Ship,1,2,133.97,5,low,Male,3.52,3135,1
1138,C,Flight,0,2,360.7,13,medium,Male,14.54,4044,0
1139,D,Road,6,5,803.67,1,high,Male,3.11,636,0
1140,D,Ship,0,5,244.39,8,medium,Male,11.68,4666,0
1141,E,Road,2,1,498.36,12,low,Male,16.35,3164,0
1142,E,Road,3,5,634.32,19,medium,Male,11.02,4909,0
1143,A,Ship,1,5,674.45,11,medium,Female,17.36,858,0
1144,B,Road,6,4,731.03,1,high,Female,29.55,2776,0
1145,E,Flight,4,1,867.32,2,low,Female,7.37,580,0
1146,D,Road,0,1,398.93,12,low,Female,16.94,2387,0
1147,C,Ship,7,2,709.57,0,medium,Male,14.14,1569,0
1148,D,Ship,9,2,734.85,19,low,Male,24.28,3290,0
1149,B,Ship,6,1,307.27,3,high,Female,9.45,460,0
1150,D,Road,3,1,968.48,17,medium,Female,19.14,1768,0
1151,A,Flight,1,2,866.57,12,low,Female,20.79,4263,0
1152,B,Ship,6,4,296.96,5,high,Female,29.27,520,0
1153,C,Flight,1,4,678.32,5,low,Male,4.54,225,0
1154,A,Ship,5,4,720.62,14,high,Male,29.95,2876,0
1155,B,Flight,0,4,437.17,17,medium,Male,21.64,4977,0
1156,C,Flight,6,2,865.11,16,high,Male,13.69,4670,0
1157,A,Flight,6,3,693.33,13,low,Female,7.91,3362,0
1158,A,Ship,3,5,661.57,3,medium,Female,18.86,2603,1
1159,B,Road,3,5,228.63,0,low,Female,4.25,2433,1
1160,E,Road,9,5,413.76,7,medium,Female,28.4,579,1
1161,A,Road,4,5,439.58,10,low,Female,5.53,344,1
1162,A,Flight,1,2,736.32,12,medium,Female,23.23,4878,1
1163,C,Ship,8,3,622.21,16,medium,Male,10.35,2328,0
1164,D,Flight,9,2,95.0,13,high,Female,6.48,1325,0
1165,B,Ship,3,3,314.62,16,medium,Male,24.26,4138,0
1166,B,Flight,8,2,478.32,19,medium,Female,26.64,3158,0
1167,E,Ship,2,1,739.37,0,high,Male,0.17,603,0
1168,E,Ship,8,3,746.13,7,medium,Female,29.22,1213,1
1169,B,Ship,0,5,495.64,18,low,Male,12.66,2567,0
1170,E,Flight,6,3,125.76,10,high,Male,2.88,1879,0
1171,C,Road,3,4,299.97,9,high,Male,13.6,738,0
1172,B,Flight,6,3,262.15,0,medium,Male,3.56,2430,0
1173,E,Flight,9,4,783.22,4,high,Female,7.76,540,1
1174,B,Ship,5,4,188.19,15,low,Male,16.73,1791,0
1175,D,Ship,3,1,470.27,19,medium,Female,10.78,4305,0
1176,A,Road,3,3,674.01,19,medium,Female,6.84,4698,0
1177,B,Road,7,1,965.14,4,medium,Female,5.89,1935,1
1178,A,Ship,6,5,999.25,15,low,Male,19.1,2574,0
1179,E,Road,3,3,953.39,2,low,Female,27.29,4762,0
1180,A,Road,5,2,721.06,1,low,Female,1.69,1118,0
1181,B,Ship,5,2,748.98,16,high,Female,7.33,1211,0
1182,D,Flight,0,2,761.62,0,high,Female,19.96,4300,0
1183,E,Road,1,4,863.98,15,medium,Female,29.62,3812,0
1184,B,Ship,3,2,952.27,1,medium,Female,20.44,4717,0
1185,E,Road,5,5,451.25,19,medium,Female,1.58,3726,0
1186,C,Road,5,3,422.35,6,high,Female,5.37,613,1
1187,A,Ship,0,3,465.86,10,low,Male,10.43,3226,0
1188,C,Road,7,4,663.22,5,low,Male,4.72,4736,1
1189,B,Road,1,4,777.69,1,medium,Male,5.47,2408,0
1190,D,Road,4,4,871.84,13,low,Male,8.21,1499,0
1191,E,Flight,3,5,461.65,3,high,Female,11.18,2085,0
1192,A,Flight,4,3,369.74,18,low,Male,11.76,650,0
1193,E,Road,4,1,983.52,1,medium,Male,14.98,1274,0
1194,B,Ship,9,4,239.57,1,medium,Female,27.85,834,0
1195,E,Road,7,2,229.78,12,low,Female,29.8,2399,1
1196,A,Road,9,1,718.25,12,medium,Male,0.59,1024,1
1197,B,Flight,6,1,187.86,2,medium,Male,14.81,3112,0
1198,E,Flight,8,4,405.41,5,high,Male,22.56,2903,1
1199,D,Flight,0,2,299.46,16,high,Male,2.2,1263,0
1200,B,Road,5,4,177.02,0,low,Male,28.24,733,0
1201,B,Road,5,4,583.91,6,medium,Female,28.13,4347,1
1202,D,Ship,1,2,379.78,6,low,Male,6.25,1928,0
1203,C,Road,7,1,467.61,12,high,Male,23.57,775,0
1204,A,Road,5,1,203.9,8,high,Male,17.44,1438,0
1205,C,Flight,9,2,770.19,17,high,Female,1.02,1873,1
1206,E,Flight,8,1,321.56,0,low,Male,8.92,1896,1
1207,D,Flight,9,5,349.29,10,high,Male,7.9,1599,0
1208,C,Flight,4,4,259.63,10,medium,Male,26.39,2549,0
1209,B,Flight,6,5,440.06,9,high,Male,26.93,1849,0
1210,E,Ship,5,5,468.94,16,low,Female,1.03,2792,0
1211,E,Ship,4,5,534.37,16,high,Male,22.24,184,0
1212,C,Ship,5,3,967.89,11,low,Male,3.6,3793,0
1213,C,Flight,3,3,905.64,9,medium,Male,23.73,2362,1
1214,D,Flight,2,5,613.3,11,high,Male,25.37,1315,0
1215,A,Flight,0,4,48.51,5,low,Female,1.78,1791,0
1216,C,Ship,0,5,616.14,5,medium,Female,9.79,3764,0
1217,C,Flight,5,5,98.77,5,medium,Male,11.39,4534,0
1218,B,Ship,8,3,713.24,19,high,Female,28.65,2160,0
1219,E,Flight,7,5,396.18,7,medium,Female,11.13,4688,0
1220,A,Road,1,4,839.32,4,medium,Male,7.68,4752,0
1221,B,Ship,8,4,943.1,5,low,Male,18.59,2949,0
1222,D,Road,7,5,422.94,1,low,Male,4.77,3865,1
1223,D,Ship,8,4,465.95,16,low,Male,18.75,3214,0
1224,C,Flight,3,5,594.25,7,high,Male,13.76,3616,0
1225,C,Flight,8,3,205.16,8,medium,Male,21.94,3046,0
1226,D,Road,1,5,928.06,7,high,Female,17.36,2494,0
1227,C,Flight,0,1,438.67,10,high,Female,5.3,3575,0
1228,A,Ship,8,3,175.15,9,low,Male,28.12,4313,0
1229,C,Flight,9,4,765.1,16,medium,Female,13.46,2402,0
1230,E,Flight,7,4,226.96,19,high,Female,22.34,504,1
1231,C,Ship,6,3,152.09,12,high,Female,15.96,4241,0
1232,B,Road,7,1,567.24,8,high,Male,25.96,2648,0
1233,A,Road,0,3,674.78,14,high,Female,10.11,4692,1
1234,B,Flight,8,2,573.87,12,low,Female,19.17,2011,0
1235,B,Ship,9,1,659.95,12,high,Female,2.38,4317,1
1236,E,Road,8,3,124.37,12,low,Male,2.33,997,0
1237,A,Road,8,2,481.26,3,medium,Female,25.31,4906,0
1238,A,Flight,5,5,363.45,9,high,Female,24.55,3373,0
1239,A,Ship,3,1,973.63,14,low,Male,10.78,4171,0
1240,A,Road,1,5,59.13,9,low,Male,20.28,1124,0
1241,A,Flight,3,2,305.31,7,high,Male,24.87,691,0
1242,E,Flight,6,4,942.44,9,low,Male,4.32,4051,1
1243,C,Flight,0,4,983.66,16,high,Female,29.54,4896,1
1244,B,Flight,8,4,826.65,4,low,Female,26.58,3511,0
1245,A,Road,2,5,85.24,12,low,Female,20.73,2124,0
1246,C,Ship,3,1,565.74,18,medium,Female,16.3,3298,0
1247,C,Flight,4,5,406.12,11,high,Female,26.85,2274,0
1248,B,Flight,2,5,808.39,11,medium,Male,22.18,3301,0
1249,E,Road,3,4,64.47,1,low,Male,17.54,2861,0
1250,D,Flight,4,5,205.16,8,high,Female,26.75,3262,0
1251,D,Flight,0,2,494.3,1,medium,Female,6.32,1499,1
1252,C,Ship,8,3,166.07,0,high,Male,7.33,120,0
1253,B,Flight,9,3,695.79,13,high,Female,27.9,3226,1
1254,D,Road,9,3,822.56,12,medium,Female,2.01,1011,1
1255,C,Ship,3,4,707.47,2,medium,Female,1.38,1160,0
1256,E,Road,8,4,445.88,19,medium,Female,23.76,4112,1
1257,D,Ship,3,3,879.6,4,low,Female,12.42,1418,0
1258,C,Ship,0,1,146.31,1,medium,Female,27.49,780,0
1259,C,Flight,4,3,267.74,17,medium,Female,9.02,4756,0
1260,A,Flight,8,5,494.64,8,low,Male,8.62,4148,1
1261,E,Flight,2,3,70.73,11,medium,Male,28.72,756,0
1262,A,Road,4,3,104.73,4,high,Female,16.61,4605,0
1263,B,Flight,2,1,403.47,17,high,Male,18.41,3272,1
1264,A,Flight,2,4,944.45,1,high,Male,26.94,2953,0
1265,A,Ship,0,4,909.33,9,low,Female,11.42,1545,0
1266,D,Flight,1,5,471.32,9,medium,Male,7.44,3980,0
1267,C,Flight,1,3,150.74,2,high,Male,17.13,4832,0
1268,E,Flight,8,2,186.33,13,low,Female,12.3,1229,0
1269,A,Flight,6,5,383.77,4,low,Male,4.91,852,0
1270,E,Ship,7,4,217.97,12,low,Female,3.56,1958,0
1271,A,Flight,1,1,92.15,16,low,Male,21.76,1708,0
1272,B,Ship,8,4,677.04,5,low,Male,1.03,3492,0
1273,A,Road,2,4,585.63,12,high,Female,15.83,3099,0
1274,D,Flight,9,1,298.38,11,low,Female,9.89,1526,0
1275,C,Flight,1,3,781.16,2,medium,Female,4.53,113,0
1276,B,Flight,0,3,778.19,15,high,Female,26.72,4683,1
1277,A,Ship,8,4,496.09,4,low,Female,22.22,4309,0
1278,E,Flight,7,5,105.57,1,high,Male,23.19,1887,0
1279,B,Flight,3,2,919.28,10,high,Male,13.08,3401,0
1280,B,Road,6,5,671.97,3,medium,Female,19.45,3849,1
1281,A,Ship,2,5,254.58,0,low,Female,2.72,2702,1
1282,B,Ship,2,4,614.35,12,medium,Female,4.18,865,0
1283,E,Road,3,4,410.97,17,low,Male,9.68,493,1
1284,B,Ship,1,2,639.0,15,low,Male,13.73,3516,0
1285,E,Flight,9,2,479.13,1,high,Female,2.81,4832,0
1286,A,Flight,3,2,490.62,8,low,Male,16.95,3705,1
1287,C,Road,9,4,738.52,11,high,Male,7.19,4299,1
1288,B,Ship,2,4,617.59,4,medium,Male,23.24,2653,1
1289,C,Ship,7,5,89.15,4,low,Female,0.01,1680,0
1290,E,Ship,1,4,74.72,12,low,Female,25.98,4681,0
1291,B,Road,8,3,311.96,15,medium,Female,21.98,1837,1
1292,D,Flight,2,3,435.94,18,medium,Female,16.39,4469,0
1293,C,Road,3,2,282.47,8,high,Male,22.13,2658,0
1294,B,Flight,9,4,654.95,15,medium,Male,10.94,1106,1
1295,C,Road,9,3,203.16,18,low,Female,4.88,110,0
1296,B,Flight,2,5,707.1,3,high,Male,0.27,4990,0
1297,A,Ship,2,1,775.42,14,medium,Female,16.46,4639,0
1298,C,Ship,7,5,133.08,8,low,Female,8.76,2567,0
1299,D,Ship,7,1,654.3,15,low,Female,6.38,4124,0
1300,D,Road,5,5,961.82,5,low,Male,26.01,1642,1
1301,E,Road,3,3,200.9,7,medium,Female,21.76,4291,0
1302,B,Road,0,4,910.21,0,high,Male,29.71,1723,1
1303,C,Ship,3,1,609.99,13,medium,Male,19.85,3473,0
1304,E,Flight,7,4,595.04,3,high,Female,26.86,3283,0
1305,C,Ship,5,4,61.4,9,medium,Male,3.55,4731,1
1306,B,Ship,1,3,750.82,15,low,Female,21.68,153,0
1307,D,Flight,2,2,483.49,3,medium,Female,2.59,2840,1
1308,A,Flight,6,2,723.96,1,high,Female,2.84,1691,0
1309,D,Flight,3,1,811.09,1,medium,Male,25.74,1357,0
1310,E,Flight,3,3,528.56,12,high,Female,10.8,3931,0
1311,A,Ship,4,4,271.01,10,medium,Female,9.49,297,0
1312,E,Road,7,5,150.16,9,high,Male,5.51,4455,0
1313,B,Ship,6,5,168.9,5,low,Male,14.55,4374,0
1314,A,Flight,8,1,868.27,6,low,Male,6.11,2378,1
1315,E,Road,4,1,132.34,14,high,Male,16.14,1918,1
1316,B,Road,0,1,390.85,19,low,Male,19.81,2898,1
1317,D,Ship,3,3,340.93,18,high,Female,19.65,4764,0
1318,B,Ship,5,5,866.8,2,high,Female,10.94,4648,1
1319,C,Ship,5,3,482.92,13,low,Male,21.12,4254,0
1320,B,Road,8,3,996.48,1,medium,Male,7.98,3468,1
1321,B,Road,9,4,739.68,15,high,Male,24.23,1284,1
1322,C,Road,4,3,852.41,16,medium,Male,0.0,784,0
1323,E,Flight,4,3,107.69,14,medium,Male,29.0,966,0
1324,E,Flight,5,4,260.57,12,low,Male,13.01,4264,0
1325,B,Ship,5,2,144.09,11,high,Male,10.02,3578,0
1326,C,Road,2,4,468.99,6,medium,Female,18.73,1297,0
1327,C,Ship,5,1,721.1,19,medium,Male,26.37,4066,0
1328,D,Road,7,2,177.37,19,low,Male,10.58,1411,0
1329,E,Ship,5,5,138.87,2,low,Female,2.1,1687,0
1330,A,Flight,4,3,618.46,8,medium,Male,10.62,984,1
1331,E,Road,2,2,238.01,2,medium,Male,0.15,3204,0
1332,E,Flight,0,5,484.53,15,low,Female,5.55,4648,1
1333,D,Road,4,4,60.61,19,low,Female,1.56,3100,0
1334,A,Ship,5,4,683.81,2,low,Male,11.63,3334,0
1335,D,Road,5,1,545.9,7,high,Male,1.79,1869,0
1336,A,Flight,5,1,650.95,7,low,Female,29.52,4428,0
1337,B,Road,2,2,282.65,14,low,Female,23.46,210,0
1338,A,Ship,3,3,285.82,4,low,Female,12.59,2633,0
1339,D,Road,2,4,803.35,12,high,Male,23.71,825,0
1340,E,Flight,1,2,721.38,14,high,Male,12.52,602,0
1341,A,Ship,7,2,583.93,6,low,Female,19.41,3147,0
1342,A,Flight,6,2,631.86,11,low,Female,24.65,3943,0
1343,C,Road,7,1,103.1,2,high,Female,20.53,2469,0
1344,E,Flight,5,4,857.61,7,high,Male,2.54,1473,0
1345,B,Road,6,1,772.21,9,medium,Female,1.3,2120,0
1346,D,Ship,0,1,594.59,1,high,Male,17.1,758,1
1347,B,Flight,9,2,919.41,7,high,Male,5.89,3304,1
1348,E,Flight,4,5,176.95,17,low,Female,29.52,1597,0
1349,A,Road,3,5,689.79,11,low,Male,0.49,2026,1
1350,A,Flight,9,5,963.35,17,low,Male,22.46,2993,1
1351,E,Flight,2,2,316.91,18,high,Male,1.27,3330,0
1352,A,Ship,1,3,25.14,4,medium,Female,18.33,516,0
1353,A,Road,8,4,737.52,15,low,Female,12.6,3723,0
1354,A,Road,7,2,16.91,16,medium,Female,18.98,3156,1
1355,D,Ship,9,2,873.81,8,medium,Male,22.86,3298,1
1356,D,Ship,1,1,65.74,9,high,Male,1.0,489,0
1357,C,Road,5,5,656.24,18,high,Female,15.64,2955,1
1358,B,Ship,2,2,383.41,11,low,Female,28.27,3342,0
1359,E,Ship,2,3,211.31,0,high,Male,6.53,977,0
1360,E,Ship,4,4,899.28,16,medium,Male,2.32,3117,0
1361,E,Road,6,3,748.78,2,high,Male,23.13,3668,0
1362,C,Ship,6,2,347.04,6,high,Female,22.24,623,0
1363,D,Flight,9,2,291.31,19,medium,Female,11.7,2919,0
1364,C,Flight,0,1,738.65,8,high,Female,24.91,1238,0
1365,E,Road,6,3,838.21,4,high,Male,16.32,2974,0
1366,B,Ship,6,1,718.69,8,low,Female,14.26,148,0
1367,A,Flight,5,3,643.59,18,medium,Male,24.66,1896,0
1368,D,Road,5,5,235.65,10,high,Female,2.94,480,0
1369,D,Flight,1,5,854.28,13,medium,Male,6.72,4603,1
1370,C,Ship,2,3,752.17,13,high,Male,13.32,2001,1
1371,D,Road,2,1,522.1,7,low,Male,2.56,4042,0
1372,E,Flight,2,5,516.47,19,high,Male,29.88,2054,0
1373,E,Road,1,2,573.48,0,high,Male,9.41,1323,0
1374,C,Flight,8,4,829.99,3,medium,Female,28.43,3738,1
1375,E,Flight,5,1,744.84,15,high,Female,14.23,2340,1
1376,B,Ship,1,3,857.68,0,medium,Female,27.74,4714,0
1377,C,Ship,2,4,512.21,18,low,Female,13.2,114,0
1378,B,Flight,9,4,628.4,2,medium,Female,24.44,689,0
1379,A,Road,5,2,856.03,1,high,Male,22.53,4352,0
1380,B,Road,3,1,240.0,16,medium,Female,28.41,1749,1
1381,A,Ship,6,4,449.58,10,low,Female,19.12,2845,0
1382,A,Flight,5,1,624.45,2,high,Male,6.81,1450,0
1383,B,Ship,5,2,915.99,6,low,Female,16.26,3127,1
1384,C,Flight,2,3,25.68,9,low,Female,4.38,410,0
1385,E,Flight,7,4,220.45,2,high,Male,10.05,3597,0
1386,E,Ship,8,4,242.11,7,high,Male,23.68,2599,0
1387,A,Road,5,4,333.35,4,medium,Male,0.42,1648,0
1388,A,Ship,1,1,288.97,9,high,Female,18.63,4360,0
1389,C,Flight,0,4,594.24,11,medium,Female,20.79,1259,1
1390,D,Ship,2,1,886.76,17,low,Male,26.99,1726,0
1391,B,Road,2,5,640.61,5,medium,Female,22.69,2284,0
1392,A,Road,7,5,249.11,7,high,Female,12.08,3121,1
1393,E,Flight,4,1,865.12,17,medium,Female,22.97,2784,0
1394,C,Ship,0,5,635.73,5,high,Male,18.76,3615,0
1395,B,Road,3,2,226.77,8,low,Female,17.6,1838,0
1396,C,Ship,6,2,368.05,15,medium,Male,2.21,316,0
1397,B,Road,4,5,792.07,10,medium,Female,16.19,3258,0
1398,B,Flight,9,3,741.54,1,medium,Female,26.01,1005,0
1399,A,Flight,5,1,580.82,16,medium,Male,13.11,4138,0
1400,C,Ship,9,5,153.32,12,low,Male,21.12,944,0
1401,C,Flight,3,1,805.26,6,high,Male,27.11,3065,0
1402,E,Road,1,5,314.47,9,medium,Male,16.03,1099,0
1403,E,Flight,8,2,773.88,12,low,Female,2.64,2644,0
1404,A,Road,1,3,651.09,9,high,Female,1.63,795,0
1405,A,Road,1,1,271.53,3,low,Female,23.93,1297,0
1406,D,Flight,1,3,220.25,10,medium,Female,0.98,1525,0
